1842
  15  22    305900.000    40.000
  16  21    313017.500     0.300
  17  20    317100.469     0.070
  18  19    315504.594     0.300
  19  18    308573.500     0.300
  20  17    296152.000    22.000
  14  24    299500.000   300.000
  15  23    309440.000   140.000
  16  22    321054.000     7.000
  17  21    323208.250     0.120
  18  20    327342.688     0.500
  19  19    320647.313     0.700
  20  18    313122.000     5.000
  15  24    315700.000   150.000
  16  23    325430.000    50.000
  17  22    331282.188     1.700
  18  21    333941.000     5.000
  19  20    333723.688     0.300
  20  19    326410.813     1.800
  21  18    312520.000    24.000
  15  25    319450.000   200.000
  16  24    333180.000   230.000
  17  23    337110.000    30.000
  18  22    343810.438     0.050
  19  21    341523.188     0.300
  20  20    342052.000     0.300
  21  19    326950.000     4.000
  22  18    314490.000   160.000
  15  26    324000.000   500.000
  16  25    337010.000   210.000
  17  24    344960.000    60.000
  18  23    349909.094     0.700
  19  22    351618.406     0.300
  20  21    350414.688     0.400
  21  20    343137.000     0.300
  16  26    343700.000   300.000
  17  25    350680.000   110.000
  18  24    359340.000    40.000
  19  23    359152.188     0.300
  20  22    361895.313     0.400
  21  21    354687.094     0.400
  22  20    346905.000     5.000
  16  27    347000.000   800.000
  17  26    357800.000   160.000
  18  25    364960.000    70.000
  19  24    368795.000     9.000
  20  23    369828.313     0.500
  21  22    366825.094     1.900
  22  21    359175.000     7.000
  17  27    361830.000   220.000
  18  26    373318.000    20.000
  19  25    376080.000    40.000
  20  24    380960.188     0.900
  21  23    376524.594     1.800
  22  22    375474.688     0.800
  17  28    368800.000   700.000
  18  27    378850.000    60.000
  19  26    384953.000    10.000
  20  25    388375.000     0.900
  21  24    387849.406     1.100
  22  23    385004.688     1.200
  23  22    377089.000    17.000
  18  28    386920.000    40.000
  19  27    391835.000    16.000
  20  26    398768.688     2.400
  21  25    396610.094     1.100
  22  24    398194.406     1.100
  23  23    390360.688     1.500
  24  22    381975.000    20.000
  18  29    391180.000   100.000
  19  28    400184.000     8.000
  20  27    406044.813     2.300
  21  26    407254.406     2.100
  22  25    407072.094     1.000
  23  24    403362.000     1.100
  24  23    395128.000    14.000
  19  29    404683.000    24.000
  20  28    415991.000     4.000
  21  27    415487.000     5.000
  22  26    418698.688     1.000
  23  25    413904.000     3.000
  24  24    411462.000     7.000
  19  30    410950.000    70.000
  20  29    421138.000     4.000
  21  28    425618.000     4.000
  22  27    426841.094     1.000
  23  26    425456.906     1.300
  24  25    422044.000     3.000
  25  24    413547.000    24.000
  19  31    414100.000   300.000
  20  30    427491.000     9.000
  21  29    431674.000    16.000
  22  28    437780.188     1.000
  23  27    434789.594     1.300
  24  26    435044.094     1.300
  25  25    426628.813     1.400
  26  24    417700.000    60.000
  20  31    431880.000    90.000
